,carat,depth,table,x,y,z,color_le,cut_le,clarity_le
0,1.12,61.6,59.0,6.67,6.63,4.1,4,3,2
1,1.14,60.0,54.0,6.74,6.97,4.11,1,4,3
2,0.9,60.3,63.0,6.12,6.22,3.72,0,4,3
3,0.71,61.9,54.0,5.74,5.76,3.56,1,2,4
4,0.34,60.0,62.0,4.51,4.55,2.72,2,4,3
5,0.33,63.1,57.0,4.38,4.43,2.78,1,4,5
6,0.55,61.3,59.0,5.27,5.3,3.24,5,3,6
7,1.19,58.8,58.0,7.04,6.9,4.1,0,3,3
8,0.41,60.4,58.0,4.78,4.82,2.9,1,3,4
9,0.3,62.5,59.0,4.27,4.31,2.68,3,3,3
10,0.7,59.4,63.0,5.76,5.78,3.43,0,4,2
11,0.31,62.0,54.0,4.37,4.4,2.72,5,2,5
12,1.08,62.9,59.0,6.44,6.53,4.08,1,4,3
13,0.48,62.5,56.0,4.98,5.02,3.12,4,2,7
14,0.31,61.2,56.0,4.4,4.42,2.7,2,2,4
15,1.16,62.4,59.0,6.72,6.64,4.17,2,3,3
16,0.78,60.0,56.0,6.0,6.03,3.61,1,4,4
17,1.01,64.5,61.0,6.24,6.31,4.05,3,1,3
18,1.1,62.0,56.5,6.58,6.63,4.09,4,2,3
19,2.2,61.7,59.0,8.34,8.3,5.13,6,3,4
20,0.51,60.2,56.0,5.2,5.24,3.14,3,2,4
21,0.72,61.6,57.0,5.73,5.76,3.54,5,2,7
22,1.0,62.1,56.0,6.42,6.39,3.98,1,2,5
23,0.31,63.3,53.0,4.32,4.3,2.73,5,4,2
24,0.33,60.1,59.0,4.49,4.46,2.69,0,3,2
25,0.52,61.7,56.0,5.13,5.18,3.18,1,2,5
26,1.21,63.0,57.0,6.82,6.76,4.28,0,2,2
27,1.52,61.8,58.0,7.38,7.4,4.57,2,2,3
28,0.35,62.1,56.0,4.47,4.51,2.79,3,2,7
29,1.06,61.2,56.0,6.6,6.57,4.03,5,2,2
30,1.6,60.8,58.0,7.59,7.51,4.59,5,3,3
31,1.09,62.4,55.0,6.59,6.68,4.14,4,2,2
32,0.53,62.7,55.0,5.16,5.18,3.24,3,2,4
33,0.32,59.8,57.0,4.46,4.4,2.65,0,2,3
34,1.2,63.5,57.0,6.65,6.74,4.25,2,4,2
35,0.91,64.7,57.0,6.02,6.04,3.9,0,1,3
36,1.01,61.2,57.0,6.45,6.49,3.96,6,2,4
37,0.32,61.5,56.0,4.4,4.42,2.71,5,2,7
38,0.77,60.7,58.0,5.95,5.91,3.6,4,3,2
39,0.72,60.0,57.0,5.8,5.84,3.49,1,4,2
40,0.33,62.3,59.0,4.39,4.44,2.75,3,3,2
41,0.32,61.6,54.0,4.43,4.46,2.74,1,4,7
42,0.38,62.1,54.0,4.62,4.66,2.88,4,2,7
43,0.9,64.2,55.0,6.09,6.16,3.93,0,4,2
44,1.33,60.7,59.0,7.08,7.13,4.31,4,3,5
45,0.82,61.6,56.0,5.98,6.04,3.7,3,2,3
46,0.34,61.4,56.0,4.48,4.51,2.76,4,2,7
47,1.51,63.1,56.0,7.2,7.28,4.57,3,1,2
48,0.7,62.2,59.0,5.68,5.64,3.52,2,3,5
49,0.32,61.3,57.0,4.41,4.43,2.71,4,2,6
50,0.57,62.1,57.0,5.33,5.29,3.3,5,3,3
51,1.02,64.3,58.0,6.28,6.32,4.05,2,1,2
52,0.9,62.8,57.0,6.16,6.14,3.86,4,2,2
53,1.1,59.7,57.8,6.7,6.76,4.01,4,4,7
54,0.7,59.2,64.0,5.8,5.75,3.42,1,1,5
55,0.63,59.2,57.0,5.56,5.66,3.32,2,4,4
56,0.72,61.7,56.0,5.75,5.78,3.56,2,2,4
57,1.03,59.9,57.0,6.61,6.68,3.98,0,2,2
58,0.58,61.2,55.8,5.39,5.41,3.3,4,4,5
59,0.61,63.7,60.0,5.34,5.28,3.38,5,1,5
60,1.0,62.8,58.0,6.38,6.36,4.0,4,3,2
61,1.21,61.0,57.0,6.88,6.85,4.19,0,2,4
62,0.72,61.4,57.0,5.74,5.79,3.54,1,2,6
63,0.34,62.0,57.0,4.48,4.46,2.77,1,2,2
64,0.38,62.6,53.5,4.61,4.66,2.9,1,2,4
65,0.32,61.6,60.0,4.37,4.4,2.7,3,3,7
66,0.82,61.9,57.0,5.99,5.96,3.7,2,2,5
67,1.03,62.2,57.0,6.42,6.47,4.01,3,4,4
68,1.51,64.0,60.0,7.1,7.19,4.57,5,1,4
69,1.2,59.9,59.0,6.92,6.98,4.16,3,3,3
70,0.41,62.6,58.0,4.81,4.75,2.99,2,3,5
71,1.01,60.4,59.0,6.49,6.45,3.91,2,3,7
72,0.54,62.5,56.0,5.18,5.22,3.25,2,2,4
73,0.71,62.7,56.0,5.68,5.71,3.57,1,2,3
74,0.3,61.3,58.0,4.29,4.33,2.64,3,3,6
75,0.35,61.4,54.0,4.54,4.58,2.8,2,2,5
76,1.0,64.8,59.0,6.29,6.24,4.06,2,0,2
77,1.17,62.4,57.0,6.74,6.69,4.19,4,3,5
78,2.22,61.3,56.0,8.36,8.45,5.15,5,2,5
79,0.79,61.0,58.0,5.96,5.9,3.62,1,3,3
80,0.61,61.5,54.0,5.48,5.51,3.38,2,2,5
81,1.09,61.2,56.0,6.62,6.64,4.06,3,2,5
82,1.11,59.9,56.0,6.8,6.77,4.07,6,4,4
83,0.7,58.3,58.0,5.9,5.86,3.43,3,3,4
84,1.1,61.8,56.0,6.65,6.6,4.1,5,2,5
85,1.1,59.6,60.0,6.74,6.7,4.0,3,3,2
86,0.34,62.1,57.0,4.49,4.53,2.8,2,2,4
87,0.35,60.5,58.0,4.59,4.57,2.77,2,3,4
88,0.35,62.3,57.0,4.5,4.55,2.82,4,2,2
89,0.3,62.1,57.0,4.25,4.28,2.65,0,2,2
90,0.72,57.6,63.0,5.89,5.95,3.41,6,4,2
91,0.79,62.2,57.0,5.94,5.9,3.68,2,3,3
