,price
0,5363
1,5593
2,3534
3,3212
4,447
5,672
6,1593
7,5504
8,1079
9,394
10,2604
11,452
12,5018
13,1590
14,821
15,5164
16,3601
17,3895
18,5002
19,15201
20,1852
21,2602
22,6720
23,523
24,780
25,1708
26,7589
27,10316
28,798
29,4749
30,8630
31,4784
32,1721
33,612
34,6872
35,3763
36,4693
37,561
38,2369
39,2479
40,492
41,816
42,898
43,4523
44,7982
45,2692
46,852
47,9258
48,2648
49,821
50,1097
51,4936
52,3629
53,6497
54,2559
55,2149
56,3759
57,6460
58,1633
59,1239
60,4816
61,10335
62,4864
63,765
64,979
65,730
66,3453
67,6539
68,8975
69,5250
70,1107
71,9231
72,1819
73,2550
74,737
75,706
76,5292
77,6163
78,18363
79,2868
80,2306
81,7357
82,5576
83,2459
84,4962
85,4712
86,745
87,984
88,491
89,524
90,2123
91,2555
92,5174
93,1577
94,4455
95,903
96,4150
97,2554
98,1689
99,8039
100,3535
101,641
102,1349
103,9025
104,5006
105,509
106,11368
107,10062
108,8048
109,1135
110,1114
111,13112
112,3089
113,2841
114,485
115,8158
116,16104
117,1343
118,1429
119,3211
120,2889
121,3781
122,3618
123,3572
124,15797
125,828
126,4909
127,5687
128,3199
129,6909
130,1076
131,576
132,1663
133,5820
134,3862
135,737
136,3465
137,3913
138,2340
139,4277
140,4816
141,8691
142,1069
143,1226
144,6275
145,1351
146,768
147,5172
148,805
149,12738
150,7665
151,9904
152,720
153,2178
154,11435
155,895
156,876
157,2098
158,10082
159,6108
160,3417
161,1041
162,5237
163,628
164,11527
165,7176
166,4758
167,700
168,2064
169,1174
170,1608
171,7216
172,982
173,5577
174,4444
175,1020
176,508
177,12052
178,3001
179,2826
180,13555
181,1308
182,1307
183,612
184,557
185,825
186,6644
187,1007
188,14386
189,781
190,854
191,6295
192,5724
193,702
194,4229
195,6019
196,4328
197,4824
198,720
199,1656
200,707
201,14534
202,2569
203,15829
204,6704
205,1672
206,579
207,10002
208,1826
209,6640
210,1017
211,1924
212,1397
213,3528
214,3777
215,523
216,5232
217,14038
218,2591
219,449
220,5615
221,1025
222,635
223,15287
224,445
225,1028
226,5328
227,10061
228,622
229,766
230,5075
231,610
232,1068
233,8736
234,715
235,9095
236,17475
237,2294
238,945
239,2467
240,3997
241,7114
242,3780
243,18625
244,2777
245,1452
246,5488
247,829
248,1333
249,522
250,648
251,1415
252,4309
253,5050
254,8104
255,5802
256,3210
257,1349
258,4650
259,10277
260,3945
261,2906
262,2717
263,4676
264,5443
265,9214
266,3670
267,988
268,779
269,752
270,17688
271,2596
272,1915
273,5217
274,1649
275,1877
276,2767
277,2607
278,1040
279,1132
280,3454
281,5096
282,2053
283,3880
284,473
285,2922
286,2342
287,4586
288,858
289,7162
290,1435
291,3649
292,2258
293,658
294,15937
295,565
296,1770
297,1125
298,7687
299,6019
300,5862
301,1361
302,4704
303,3874
304,900
305,1202
306,1246
307,1401
308,6157
309,1613
310,1105
311,6375
312,931
313,2266
314,2043
315,4979
316,2915
317,9105
318,10521
319,16580
320,13531
321,1169
322,1574
323,579
324,453
325,11087
326,4916
327,1801
328,9870
329,3622
330,7351
331,3126
332,464
333,1041
334,2398
335,1629
336,4416
337,12284
338,2523
339,4939
340,11435
341,16219
342,12598
343,1634
344,625
345,1628
346,10338
347,2201
348,4377
349,6064
350,2717
351,4989
352,1624
353,4413
354,18149
355,1754
356,1694
357,9677
358,4875
359,2594
360,4154
361,4113
362,2777
363,12681
364,787
365,13976
366,4695
367,814
368,502
369,891
370,1061
371,9833
372,5704
373,1134
374,1971
375,1583
376,5485
377,1847
378,1675
379,2205
380,4764
381,936
382,2074
383,1454
384,8416
385,3991
386,3674
387,10913
388,7091
389,2580
390,2952
391,2239
392,605
393,1108
394,9967
395,1381
396,7923
397,3514
398,8293
399,2379
400,4967
401,5856
402,5430
403,11268
404,6282
405,2033
406,5930
407,827
408,605
409,1429
410,2559
411,707
412,1940
413,4142
414,1211
415,2354
416,3471
417,8233
418,3881
419,504
420,15253
421,12390
422,5946
423,2168
424,14490
425,5500
426,1235
427,1220
428,16512
429,2216
430,368
431,1313
432,1749
433,1963
434,994
435,754
436,2664
437,668
438,1076
439,640
440,1257
441,5698
442,4969
443,2208
444,1061
445,16198
446,2362
447,2536
448,8743
449,2134
450,740
451,6169
452,18077
453,735
454,12755
455,1154
456,1746
457,401
458,605
459,741
460,394
461,6094
462,770
463,4816
464,790
465,552
466,7707
467,4309
468,7549
469,1653
470,12401
471,525
472,2145
473,658
474,957
475,6012
476,2361
477,1677
478,1013
479,4311
480,802
481,853
482,3879
483,675
484,7345
485,11268
486,4465
487,5151
488,1066
489,681
490,14138
491,1152
492,422
493,752
494,526
495,956
496,814
497,12766
498,2550
499,4064
500,16985
501,592
502,631
503,2604
504,7589
505,4398
506,1655
507,5650
508,9169
509,5871
510,421
511,6288
512,1633
513,956
514,7850
515,4685
516,4518
517,7338
518,14234
519,363
520,921
521,614
522,13320
523,14838
524,683
525,3007
526,10553
527,645
528,899
529,5877
530,4246
531,2936
532,3235
533,1601
534,5042
535,792
536,11796
537,7565
538,675
539,1050
540,489
541,16783
542,1059
543,526
544,3114
545,576
546,958
547,3760
548,1263
549,749
